菜品名称,食堂,标签
奥尔良鸡排饭,公三食堂,主食
奥尔良鸡球,公三食堂,主食
八宝粥,公二食堂,早餐
拔丝红薯,公一食堂,主食
霸王鸡排,公一食堂,小吃
白菜豆腐,公三食堂,主食
白菜豆腐面,研二食堂,主食
白菜粉条,公三食堂,主食
白菜鸡蛋炒饭,公一食堂,主食
白菜肉包,公一食堂,早餐
白菜烧丸子,公二食堂,主食
白菜馅饼,公一食堂,早餐
白菜香菇包,公一食堂,早餐
白豆浆,公三食堂,早餐
白花卷,公一食堂,早餐
白鸡蛋,公一食堂,早餐
白萝卜肉末包,公一食堂,早餐
白米饭,公二食堂,早餐
白面发糕,公三食堂,主食
白皮酥,公三食堂,早餐
白糖包,公三食堂,早餐
白糖烧饼,公三食堂,主食
白灼菜苔,公一食堂,主食
白灼菜心,公三食堂,主食
白灼龙利鱼,公二食堂,主食
百合清炒蔬菜,清真食堂,主食
百荷红枣粥,公三食堂,早餐
爆汁香骨鸡腿排,公三食堂,主食
菠菜炒鸡蛋,公一食堂,主食
菠菜鸡蛋,"公二食堂,公三食堂",主食
菠菜羊肉馅饼,清真食堂,主食
菠菜汁拉面,清真食堂,主食
菠萝咕老肉,公一食堂,主食
菠萝火腿焗饭,公二食堂,主食
菜花卷,公三食堂,早餐
菜馍,公二食堂,早餐
菜团子,公三食堂,早餐
菜窝头,公三食堂,早餐
草菇肉片,公三食堂,主食
叉烧肉,"公一食堂,公三食堂",主食
茶鸡蛋,公二食堂,早餐
茶叶蛋,公一食堂,早餐
炒饼,公三食堂,主食
炒方便面,公二食堂,主食
炒方便面,公三食堂,主食
炒合菜,公三食堂,主食
炒合菜炒饼,研二食堂,主食
炒猫耳朵,公三食堂,主食
炒米粉,公三食堂,主食
炒米线,公三食堂,主食
炒意面,公二食堂,主食
豉油粉丝金针菇,公三食堂,主食
川味肉沫拌面,研二食堂,主食
糍粑牛肉,公一食堂,主食
葱花饼,"公二食堂,清真食堂",早餐
葱花花卷,公一食堂,早餐
葱馕,清真食堂,主食
醋溜豆芽,公三食堂,主食
醋溜鸡,公一食堂,主食
醋溜土豆丝,"公三食堂,清真食堂",主食
醋汁藕片,公一食堂,主食
脆麻花,公三食堂,早餐
脆皮鸡腿,"公一食堂,公三食堂",小吃
脆皮鸡腿饭,公一食堂,主食
脆皮五花肉,公三食堂,主食
脆皮鱼排饭,公三食堂,主食
打卤面,"公一食堂,公三食堂",主食
大饼,"公一食堂,公三食堂",早餐
大春卷,公一食堂,早餐
大葱羊肉包,清真食堂,早餐
大亨鸡排,公一食堂,小吃
大盘鸡,"公一食堂,清真食堂",主食
大盘鸡面,公一食堂,主食
蛋夹馍,公二食堂,早餐
地瓜球,公二食堂,小吃
冬瓜汆丸子,公一食堂,主食
冬瓜丸子,公三食堂,小吃
冬瓜虾仁,公三食堂,主食
豆腐脑,"公一食堂,公二食堂,公三食堂",早餐
豆花牛柳饭,公一食堂,主食
豆浆,公一食堂,早餐
豆角茄子,公三食堂,主食
豆沙包,公二食堂,早餐
剁椒娃娃菜,公一食堂,主食
俄式罗宋汤,公二食堂,饮品
发面饼,公三食堂,主食
法式南瓜汤,公二食堂,饮品
番茄肥牛面,公三食堂,主食
番茄鸡蛋,公一食堂,主食
番茄鸡蛋白玉菇,公一食堂,主食
番茄鸡蛋面,公一食堂,主食
番茄培根饭,公二食堂,主食
番茄培根汤,公二食堂,饮品
番茄鱼,公二食堂,主食
方便面鸡蛋,公三食堂,主食
方肉饼,公一食堂,早餐
肥肠炒饭,公三食堂,主食
肥肠烩饼,研二食堂,主食
肥肠面,公二食堂,主食
肥牛拌面,研二食堂,主食
肥牛炒饭,公三食堂,主食
肥牛炒通心粉,公一食堂,主食
肥牛炒意大利面,公一食堂,主食
肥牛豆花面,研二食堂,主食
肥牛烩饼,研二食堂,主食
肥牛火锅面,研二食堂,主食
肥牛米粉,研二食堂,主食
肥牛热干面,公三食堂,主食
肥牛砂锅面,研二食堂,主食
肥牛小面,研二食堂,主食
粉条鸡蛋包,清真食堂,早餐
粉蒸鸡,公一食堂,主食
风沙肥牛饭,公一食堂,主食
风味炒饼,研二食堂,主食
风味千页豆腐,公二食堂,主食
风味油豆皮,公一食堂,主食
佛跳墙,公二食堂,主食
橄榄菜四季豆,公三食堂,主食
干煸豆角,公三食堂,主食
干锅茶树菇,公三食堂,主食
干锅牛肉,公一食堂,主食
干锅千叶豆腐,公一食堂,主食
干锅千页豆腐,公三食堂,主食
干锅土豆片,"公一食堂,公三食堂",主食
干锅鱼头,公一食堂,主食
干锅仔鸡,"公一食堂,公三食堂",主食
干烧鲫鱼,公三食堂,主食
公主卤肉饭,公二食堂,主食
宫保鸡丁,"公一食堂,公二食堂,公三食堂",主食
宫爆鸡丁盖饭,研二食堂,主食
骨肉相连,"公二食堂,研二食堂",小吃
骨汤混沌,研二食堂,主食
桂花糕,公二食堂,早餐
桂花手工藕粉,公二食堂,主食
桂花紫薯粥,公三食堂,早餐
锅包肉,"公一食堂,公三食堂",主食
锅贴,公三食堂,主食
锅贴饺子,研二食堂,主食
锅仔肥牛,公三食堂,主食
锅仔关东煮,公三食堂,主食
锅仔鸡块,公三食堂,主食
锅仔排骨,公三食堂,主食
锅仔啤酒鸭,公三食堂,主食
锅仔肉片,公三食堂,主食
果酱面包,公三食堂,早餐
果仁脆皮鸡,公二食堂,主食
果仁馕,清真食堂,主食
哈密瓜炒虾仁,清真食堂,主食
海带排骨汤,公一食堂,饮品
海鲜菇炒鸡蛋,公三食堂,主食
韩式烤鸡拌饭,公三食堂,主食
韩式炸鸡,公一食堂,小吃
汉堡,公二食堂,主食
汉堡饼,公一食堂,早餐
杭椒肉沫炒鸡蛋,公三食堂,主食
杭椒小炒肉,公三食堂,主食
杭椒鸭条,公二食堂,主食
荷塘小炒,公三食堂,主食
荷叶鸡,公二食堂,主食
核桃薏米粥,公三食堂,早餐
核桃粥,公一食堂,早餐
黑椒鸡块,公一食堂,小吃
黑椒牛柳煲仔饭,研二食堂,主食
黑椒牛柳砂锅饭,研二食堂,主食
黑椒肉柳,公一食堂,主食
黑椒鸭腿,公三食堂,主食
黑椒猪排饭,公三食堂,主食
黑芝麻松仁粥,公一食堂,早餐
红豆西米露,公一食堂,早餐
红豆薏米粥,"公一食堂,研二食堂",早餐
红烤牛肉,清真食堂,主食
红萝卜包,清真食堂,早餐
红烧带鱼,公三食堂,主食
红烧豆腐,公三食堂,主食
红烧豆腐,公三食堂,主食
红烧鸡块,公一食堂,主食
红烧鸡块粉,研二食堂,主食
红烧牛肉饭,公一食堂,主食
红烧牛肉面,"公二食堂,公三食堂,清真食堂",主食
红烧牛肉汤面,研二食堂,主食
红烧排骨面,公三食堂,主食
红烧千页豆腐,公三食堂,主食
红烧茄子,"公三食堂,公一食堂",主食
红烧日本豆腐,公一食堂,主食
红烧肉,"公二食堂,公三食堂",主食
红烧肉炖粉条,公一食堂,主食
红烧狮子头,公二食堂,主食
红烧丸子,公一食堂,主食
红烧鱼块,"公一食堂,公二食堂",主食
红薯小米粥,公三食堂,早餐
红酸汤肥牛,公三食堂,主食
红酸汤鱼片,公三食堂,主食
红糖饼,公一食堂,早餐
红糖糍粑,公三食堂,早餐
红糖发糕,公一食堂,早餐
红糖烧饼,公三食堂,主食
红糖小米粥,"公三食堂,公一食堂",早餐
胡辣汤,公二食堂,早餐
胡萝卜包,公一食堂,早餐
胡萝卜卷饼,公一食堂,早餐
胡萝卜素包,公二食堂,早餐
花卷,"公二食堂,公三食堂",早餐
滑蛋肉片,公一食堂,主食
滑蛋肉片盖饭,研二食堂,主食
滑蛋虾仁,公一食堂,主食
滑子菇菜苔,公一食堂,主食
黄豆猪手,公二食堂,主食
黄瓜炒豆豉,公一食堂,主食
黄瓜炒毛肚,清真食堂,主食
黄焖鸡,公二食堂,主食
黄焖鸡饭,公三食堂,主食
黄焖鸡盖饭,研二食堂,主食
黄焖鸡砂锅饭,研二食堂,主食
黄焖牛肉盖饭,研二食堂,主食
回锅肉,研二食堂,主食
回锅肉拌面,研二食堂,主食
回锅肉炒饭,公三食堂,主食
回锅肉盖饭,研二食堂,主食
茴香鸡蛋包,公一食堂,早餐
茴香鸡蛋馅饼,公三食堂,主食
茴香肉馅饼,公三食堂,早餐
馄饨,"公三食堂,公一食堂",早餐
火爆腰花,公一食堂,主食
火锅方便面,公三食堂,主食
火锅烩饼,公三食堂,主食
火锅米粉,公三食堂,主食
火锅米线,公三食堂,主食
火锅面,公三食堂,主食
火锅牛肉面,公三食堂,主食
火锅羊肉面,公三食堂,主食
火腿饼,公一食堂,早餐
火腿鸡蛋夹饼,公一食堂,早餐
火腿米粉,研二食堂,主食
火腿面包,公三食堂,早餐
火腿披萨,公二食堂,主食
火腿三明治,公一食堂,早餐
鸡翅,公二食堂,小吃
鸡蛋饼,"公一食堂,公三食堂,清真食堂",早餐
鸡蛋肠粉,公一食堂,主食
鸡蛋炒饼,公一食堂,主食
鸡蛋炒刀削面,研二食堂,主食
鸡蛋炒饭,公三食堂,主食
鸡蛋炒海鲜菇,公一食堂,主食
鸡蛋炒河粉,公一食堂,主食
鸡蛋炒通心粉,公一食堂,主食
鸡蛋炒意大利面,公一食堂,主食
鸡蛋灌饼,公三食堂,早餐
鸡蛋灌饼+火腿,公三食堂,早餐
鸡蛋灌饼+鸡排,公三食堂,早餐
鸡蛋灌饼+烤肠（大）,公三食堂,早餐
鸡蛋灌饼+烤肠（小）,公三食堂,早餐
鸡蛋灌饼+培根,公三食堂,早餐
鸡蛋灌饼+三文治,公三食堂,早餐
鸡蛋灌肉饼,公一食堂,早餐
